title,slug,post_type,date,word_count,recommended_action,new_hugo_section,recommended_new_slug,priority,notes,link
Contact Us,contact,page,2018-09-18 09:29:30,58,keep/rewrite,site,,medium,reuse for About/FAQ/OEM/contact content as needed,https://wp.pky-dripirrigation.com/contact/
Blog,blog,page,2018-09-18 09:29:31,0,discard,discard,,low,utility/empty/low-value page,https://wp.pky-dripirrigation.com/blog/
A homepage section,a-homepage-section,page,2018-09-18 09:29:31,3,discard,discard,,low,utility/empty/low-value page,https://wp.pky-dripirrigation.com/a-homepage-section/
FAQs,faqs,page,2018-09-20 08:35:45,251,keep/rewrite,site,,medium,reuse for About/FAQ/OEM/contact content as needed,https://wp.pky-dripirrigation.com/faqs/
Drip irrigation pressure relief valve (manual valve),standard-pressure-relief-valve-for-drip-irrigation-with-manual-three-way-valve,page,2018-12-13 07:11:16,78,rewrite/merge,docs,standard-pressure-relief-valve-for-drip-irrigation-with-manu,low,technical reference; keep only if rewritten and linked to products/solutions,https://wp.pky-dripirrigation.com/standard-pressure-relief-valve-for-drip-irrigation-with-manual-three-way-valve/
About us 2025,about-us,page,2019-06-14 02:36:48,152,keep/rewrite,site,,medium,reuse for About/FAQ/OEM/contact content as needed,https://wp.pky-dripirrigation.com/about-us/
Drip irrigation tape,drip-irrigation-tape,page,2019-08-22 06:23:16,339,rewrite/merge,product,filters-valves-accessories,medium,supporting components; do not create many SKU pages,https://wp.pky-dripirrigation.com/drip-irrigation-tape/
20 hectare Orchard drip system ,20-hectare-orchard-drip-system,page,2019-08-23 06:05:47,109,rewrite,applications,orchard-irrigation,medium,convert to application scenario/case page,https://wp.pky-dripirrigation.com/20-hectare-orchard-drip-system/
Soil temperature and humidity sensor,soil-temperature-and-humidity-sensor,page,2019-12-12 03:58:51,160,rewrite/merge,product,sensors-monitoring,medium,merge into Sensors & Monitoring product family,https://wp.pky-dripirrigation.com/soil-temperature-and-humidity-sensor/
Solar powered irrigation system design,solar-powered-irrigation-system-design,page,2019-12-17 02:55:55,342,rewrite/merge,solution,solar-powered-irrigation,medium,use for Solar-Powered Irrigation / solar pump guide,https://wp.pky-dripirrigation.com/solar-powered-irrigation-system-design/
Sand centrifugal filter Water irrigation filters machine system,sand-centrifugal-filter-water-irrigation-filters-machine-system,page,2019-12-18 07:10:19,326,rewrite/merge,product,filters-valves-accessories,medium,merge into Filters & Irrigation Components,https://wp.pky-dripirrigation.com/sand-centrifugal-filter-water-irrigation-filters-machine-system/
