page_url,page_type,section_name,field_key,current_image,status,recommended_replacement,recommended_visual_style,recommended_filename,priority,notes
/product/pump-valve-control-system/,product,Hero,hero.image,images/product/irrigation-control-cabinet/cabinet-product-photo.png,Acceptable,Pump room install or cabinet with pumps/valves visible,Real engineering photo,images/product/pump-valve-hero-cabinet-install.jpg,Medium,Real product photo; upgrade to in-situ install
/product/pump-valve-control-system/,product,What the System Controls,system_controls.diagram,images/product/irrigation-control-cabinet/one-system-complete-control.png,Acceptable,Labeled pump-valve-wireless system diagram,Technical diagram,images/product/pump-valve-system-diagram.png,Low,Keep or refresh labels for current SKU names
/product/pump-valve-control-system/,product,Wireless LoRa Expansion,wireless_control.image,images/brochure/lora-valve-field.jpg,Weak,PKY-IC05 at valve in orchard or open-field row,Real engineering photo,images/product/pump-valve-wireless-field-node.jpg,High,Brochure stock; use field install photo
/product/pump-valve-control-system/,product,Simple Touchscreen Operation,hmi_section.image,images/product/irrigation-control-cabinet/cabinet-product-photo.png,Placeholder,Duplicate of hero; need HMI close-up or cabinet+UI overlay,UI screenshot,images/product/pump-valve-hmi-screen.jpg,High,Same file as hero section
/product/pump-valve-control-system/,product,Industrial Control Platform,control_platform.image,images/product/irrigation-control-cabinet/product-combination-retrofit-bom.png,Acceptable,Retrofit BOM / panel layout diagram,Technical diagram,images/product/pump-valve-platform-bom.png,Low,Engineering diagram acceptable
/product/pump-valve-control-system/,product,Applications (cards),applications.cards.image,(none),Missing,Optional thumbnails per application card,Real engineering photo,images/product/pump-valve-app-{scenario}.jpg,Low,Cards are text-only today; images optional
/product/fertigation-system/,product,Hero,hero.image,images/brochure/pump-valve-automation.jpg,Weak,Fertigation skid with tanks and dosing pumps at pump station,Real engineering photo,images/product/fertigation-hero-skid.jpg,High,Shows pump/valve not fertigation
/product/fertigation-system/,product,Two Control Approaches,feature_blocks[0].image,images/brochure/applications-greenhouse.jpg,Weak,Greenhouse fertigation room or FG machine in production bay,Real engineering photo,images/product/fertigation-control-approaches.jpg,High,Generic greenhouse exterior
/product/fertigation-system/,product,Applications — Greenhouse,applications.cards[0].image,images/brochure/applications-greenhouse.jpg,Weak,Greenhouse drip + fertigation context,Real engineering photo,images/product/fertigation-app-greenhouse.jpg,Medium,Reused brochure asset
/product/fertigation-system/,product,Applications — Orchard,applications.cards[1].image,images/brochure/applications-orchard.jpg,Weak,Orchard pump station with fertigation tanks,Real engineering photo,images/product/fertigation-app-orchard.jpg,Medium,Reused brochure asset
/product/fertigation-system/,product,Applications — Open field,applications.cards[2].image,images/brochure/applications-open-field.jpg,Weak,Open-field fertigation at central pump,Real engineering photo,images/product/fertigation-app-open-field.jpg,Medium,Reused brochure asset
/product/wireless-valve-controller/,product,Hero,hero.image,images/brochure/lora-valve-field.jpg,Acceptable,PKY-IC05 with valve and solar panel clearly visible,Product studio / field photo,images/product/wireless-valve-hero-ic05.jpg,Medium,Best current field product shot
/product/wireless-valve-controller/,product,Where Wireless Fits — Orchard,wireless_control.images[0].src,images/brochure/applications-orchard.jpg,Weak,Orchard row with wireless valve node visible,Real engineering photo,images/product/wireless-valve-scene-orchard.jpg,High,Generic orchard scene
/product/wireless-valve-controller/,product,Where Wireless Fits — Field node,wireless_control.images[1].src,images/brochure/lora-valve-field.jpg,Placeholder,Duplicate of hero; different install angle,Real engineering photo,images/product/wireless-valve-scene-field-install.jpg,High,Same file as hero
/product/wireless-valve-controller/,product,Where Wireless Fits — Remote,wireless_control.images[2].src,images/brochure/lora-hero-remote-irrigation.webp,Weak,Remote/hillside farm showing scale,AI-enhanced real scene,images/product/wireless-valve-scene-remote-farm.webp,Medium,Marketing-style remote farm
/product/sensors-monitoring/,product,Hero,hero.image,images/brochure/lora-system-real-field.webp,Weak,Collage: soil probe flow meter weather station at real site,Real engineering photo,images/product/sensors-monitoring-hero.jpg,High,LoRa marketing image not sensor-focused
/product/sensors-monitoring/,product,How Sensors Fit the Architecture,feature_blocks[0].image,images/brochure/applications-greenhouse.jpg,Weak,Sensors in greenhouse or pump room panel,Real engineering photo,images/product/sensors-monitoring-architecture-context.jpg,High,Wrong section context
/product/filters-valves-accessories/,product,Hero,hero.image,images/solution/controller-valve-pump-combination.webp,Weak,Sand filter disc filter valves at pump station,Real engineering photo,images/product/filters-valves-hero-station.jpg,High,WebP from solution folder; may feel composite
/product/filters-valves-accessories/,product,Typical Hydraulic Stack,zone_flow.steps,(none),Missing,Optional hydraulic stack diagram,System architecture visual,images/product/filters-valves-hydraulic-stack.svg,Low,Text-only flow steps today
/solution/open-field-irrigation/,solution,Hero,hero.image,images/brochure/applications-open-field.jpg,Weak,Open field with pump station pipelines and control cabinet,Real engineering photo,images/solution/open-field-irrigation/hero-pump-station-field.jpg,High,No pump/automation visible in current hero
/solution/open-field-irrigation/,solution,System Architecture,system_architecture.image,images/solution/open-field-irrigation-control-system-architecture.png,Acceptable,Full open-field control architecture with labels,System architecture visual,images/solution/open-field-irrigation/architecture-control-system.png,Low,User-provided asset; refresh if labels change
/solution/open-field-irrigation/,solution,One Pump Multiple Zones,zone_flow.steps,(none),Missing,Zone flow graphic pump to main to valves to areas,System architecture visual,images/solution/open-field-irrigation/zone-flow-diagram.svg,Low,Text steps only
/solution/open-field-irrigation/,solution,Wireless Field — Orchard,wireless_control.images[0].src,images/brochure/applications-orchard.jpg,Weak,Orchard block with wireless valve context,Real engineering photo,images/solution/open-field-irrigation/wireless-orchard.jpg,High,Site-wide reuse
/solution/open-field-irrigation/,solution,Wireless Field — LoRa valve,wireless_control.images[1].src,images/brochure/lora-valve-field.jpg,Weak,LoRa solar valve controller in field,Real engineering photo,images/solution/open-field-irrigation/wireless-lora-valve.jpg,High,Site-wide reuse
/solution/open-field-irrigation/,solution,Wireless Field — Hillside,wireless_control.images[2].src,images/brochure/lora-hero-remote-irrigation.webp,Weak,Hillside remote irrigation zone,AI-enhanced real scene,images/solution/open-field-irrigation/wireless-hillside.webp,Medium,Site-wide reuse
/solution/open-field-irrigation/,solution,Fertigation Integration,fertigation.image,images/solution/open-field-irrigation/fertigation-equipment.jpg,Placeholder,FG301 product photo not pump-station fertigation skid,Real engineering photo,images/solution/open-field-irrigation/fertigation-skid.jpg,High,User flagged wrong image; temp borrow from public FG301
/solution/open-field-irrigation/,solution,HMI Touchscreen — Equipment,hmi_section.equipment_image,images/solution/open-field-irrigation/hmi-control-cabinet.png,Placeholder,Cabinet product PNG copied; need open-field pump room install,Real engineering photo,images/solution/open-field-irrigation/hmi-cabinet.jpg,High,User flagged wrong image
/solution/open-field-irrigation/,solution,HMI Touchscreen — UI overlay,hmi_section.ui_image,(none),Missing,Irrigation HMI screenshot matching cabinet project,UI screenshot,images/solution/open-field-irrigation/hmi-screen.jpg,High,ui_image commented out in front matter
/solution/open-field-irrigation/,solution,Applications — Orchard,applications.cards[0].image,images/brochure/applications-orchard.jpg,Weak,Orchard application card scene,Real engineering photo,images/solution/open-field-irrigation/app-card-orchard.jpg,Medium,Duplicate of wireless section
/solution/open-field-irrigation/,solution,Applications — Open field,applications.cards[1].image,images/brochure/applications-open-field.jpg,Weak,Open field farming card,Real engineering photo,images/solution/open-field-irrigation/app-card-open-field.jpg,Medium,Duplicate of hero
/solution/open-field-irrigation/,solution,Applications — Hillside,applications.cards[2].image,images/brochure/lora-hero-remote-irrigation.webp,Weak,Hillside irrigation card,AI-enhanced real scene,images/solution/open-field-irrigation/app-card-hillside.webp,Medium,Duplicate
/solution/open-field-irrigation/,solution,Applications — Water tank,applications.cards[3].image,images/product/pump-control.webp,Weak,Tank-fed distribution with pump and zones,Real engineering photo,images/solution/open-field-irrigation/app-card-tank-system.jpg,High,Pump stock icon not tank system
/solution/open-field-irrigation/,solution,Applications — Greenhouse expansion,applications.cards[4].image,images/brochure/applications-greenhouse.jpg,Weak,Linked greenhouse block on open-field platform,Real engineering photo,images/solution/open-field-irrigation/app-card-greenhouse-expansion.jpg,Medium,Duplicate
/solution/greenhouse-irrigation/,solution,Hero,hero.image,images/brochure/applications-greenhouse.jpg,Weak,Greenhouse interior drip manifolds pump room,Real engineering photo,images/solution/greenhouse-irrigation/hero-bay-drip.jpg,High,Generic greenhouse photo only
/solution/greenhouse-irrigation/,solution,Typical Greenhouse Flow,zone_flow.steps,(none),Missing,Greenhouse hydraulic flow diagram,System architecture visual,images/solution/greenhouse-irrigation/flow-diagram.svg,Medium,No visual for solution page
/solution/greenhouse-irrigation/,solution,System overview (optional),product_modules,(none),Missing,Single greenhouse system overview photo,Real engineering photo,images/solution/greenhouse-irrigation/system-overview.jpg,Low,Text-only modules section
/solution/orchard-irrigation/,solution,Hero,hero.image,images/brochure/applications-orchard.jpg,Weak,Orchard rows mainline optional pump station,Real engineering photo,images/solution/orchard-irrigation/hero-rows-mainline.jpg,High,Generic orchard
/solution/orchard-irrigation/,solution,Wireless — Tree blocks,wireless_control.images[0].src,images/brochure/applications-orchard.jpg,Placeholder,Same file as hero; different block view,Real engineering photo,images/solution/orchard-irrigation/wireless-tree-blocks.jpg,High,Duplicate within page
/solution/orchard-irrigation/,solution,Wireless — Field node,wireless_control.images[1].src,images/brochure/lora-valve-field.jpg,Weak,Wireless valve node in orchard,Real engineering photo,images/solution/orchard-irrigation/wireless-field-node.jpg,High,Brochure reuse
/solution/orchard-irrigation/,solution,Wireless — LoRa network,wireless_control.images[2].src,images/brochure/lora-wireless-irrigation.jpg,Weak,Gateway and field LoRa context,Real engineering photo,images/solution/orchard-irrigation/wireless-lora-network.jpg,Medium,Brochure reuse
/solution/hydroponic-irrigation/,solution,Hero,hero.image,images/brochure/applications-greenhouse.jpg,Weak,NFT DWC or nutrient room not generic greenhouse,Real engineering photo,images/solution/hydroponic-irrigation/hero-nutrient-room.jpg,High,Wrong crop/system type
